BUSINESS_SUB_GROUP_NM,PRODUCT_LINE_CD,PLATFORM_NM,MODEL_NM,PRODUCT_MODEL_NR,PART_DN,STD_PRICE_USD_AM,PART_NR,UNRESTRICTED_QT,EXTRACT_TS
OPS Printers,F7,,,JC69-04,"BOX-2ND EXIT U X7600,CB,E,Flexo1(SW,Flex","1,4",JC69-04718A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX UNIT,10,JC69-04693J,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX UNIT,9,JC69-04693C,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,E0,,,JC69-04,"BOX UNIT SL-M4075FX,CB,Flexo4(DW,Flexo,Y","7,6",JC69-04692D,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,E0,,,JC69-04,BOX UNIT,"12,5",JC69-04692C,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,E0,,,JC69-04,BOX UNIT,"5,4",JC69-04692B,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,E0,,,JC69-04,BOX UNIT,"6,2",JC69-04692A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX UNIT,"0,01",JC69-04691U,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,BOX UNIT-FINISHER,"8,2",JC69-04615B,100,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,BOX UNIT,13,JC69-04615A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,BOX UNIT-VAP ETC,"0,01",JC69-04610H,42,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,BOX UNIT-VAP ETC,"0,01",JC69-04610G,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,BOX-3K FINISHER TOP,"3,2",JC69-04604A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,BOX-CST LOCKING OPTION KIT MASTER,"0,01",JC69-04599A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
